name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Chris Janson - 'Good Vibes' (Official Music Video)-hNRJjDm2sQE.mp3,92.21311475409836, 248, 0.44547142380597954, 0.21493661403656006,3252.292194519561, 3306.412721860261, 6577.9568867227645, 0.0787318073833344,136.26409132817756,-52.422452787902586,44.000047695905664,-11.723404778225778,23.52765145519322,-15.167624364555634,9.966931444363437,-3.627615945566124,7.014374660853709,-1.606736323191451,1.3599072058085901,Country
Josh Turner - Your Man-nADTbWQof7Y.mp3,100.44642857142857, 298, 0.4783688682807329, 0.11308733373880386,2518.1578014267584, 3283.0249608575987, 5439.760977127281, 0.045971754914523585,159.99401342206417,-14.042134547162602,36.63043156304432,-4.6348889443778996,33.21099076495302,-12.296106660137257,10.751117200617138,0.01895236115874952,5.506218267282674,-6.5749542325016455,6.222395014127214,Country
Alan Jackson - Chattahoochee (Official Music Video)-JW5UEW2kYvc.mp3,87.890625, 248, 0.5012654531503427, 0.1344214677810669,2801.9314690048127, 3144.5005883897998, 6021.014032501777, 0.05911634634614245,152.08667379606445,-38.95604155104274,46.591423360209525,-12.680671360479339,31.407302134467376,-12.443628920387928,4.192684493934184,5.038840918096212,-4.199164292708832,4.315673034879902,-7.629906292749536,Country
Shania Twain - Any Man Of Mine (Official Music Video)-8N2k-gv6xNE.mp3,156.25, 466, 0.37641350318457695, 0.07325447350740433,3559.7504250909974, 3765.542683928974, 7439.9091164968, 0.0787239807085506,126.90134844283696,-41.59455932522111,33.88889844793705,-13.75043219068789,25.885913010457102,-18.056246869022065,10.087829343015633,-6.972168089996449,6.832440740179602,-8.7694163702711,8.761325100112636,Country
Miranda Lambert - Mama's Broken Heart-7yg05svXp98.mp3,112.5, 335, 0.48730996460525794, 0.1872267723083496,2534.4630564854633, 3157.543288557239, 5297.783279509363, 0.04772859524991112,146.82458986608572,-22.534154808672664,46.42538636870473,-0.6047755840284171,28.278889638534878,-7.559764044800016,17.33945126662261,2.070383556875487,6.951784200342946,2.268820940523343,0.3492571694179384,Country
Thomas Rhett - It Goes Like This-I4keD5Qvya4.mp3,170.45454545454547, 471, 0.4392028476313311, 0.12485382705926895,2442.041951325573, 3208.523212038938, 5287.31028901991, 0.04215519867341195,154.74111285739033,-15.725365597254362,39.83112624079139,-4.932896440976024,25.08944934106804,-7.339792113905715,13.741307959477629,-3.0014918349424873,7.694665754757161,1.7922024612191687,3.902066390395209,Country
Ryan Robinette - New Boots-9yIUaw4cqhE.mp3,110.29411764705883, 286, 0.4314732315070208, 0.25992411375045776,3188.8729290047327, 3573.0207570053303, 7020.865134327399, 0.06374111748023652,134.5159639297208,-32.94740502583943,50.989173596421715,-14.288101640482063,32.39563721877187,-18.764540668571016,9.20129930942093,-6.742201435330083,9.494085045661986,-2.930790094068363,0.46352443218835554,Country
Brad Paisley - Whiskey Lullaby ft. Alison Krauss-xuzZBDh8U5w.mp3,144.23076923076923, 423, 0.4627312305926558, 0.037292879074811935,2171.02824422625, 3144.844230871689, 4468.139388036265, 0.0390950790879059,151.8742669186872,8.214962066623103,36.60125366655848,1.6424790338037416,19.16932718101165,-4.810938110885286,5.053241636012742,-1.2000062362708876,-3.365086442984223,0.6616984819680105,-2.837967390181895,Country
Alan Jackson - Remember When (Official Music Video)-TTA2buWlNyM.mp3,125.0, 374, 0.4057405923154046, 0.10469666123390198,1643.282872136822, 2337.1796025280814, 3111.976697677175, 0.03298719450884392,186.08137536585122,-14.837534635445579,27.217708106512703,0.5660370305756733,20.266434015586583,-4.5361032667496,6.082347924606109,1.8356636010931737,-5.19740505509567,1.0218075491404466,-2.882094065390633,Country
Dan + Shay - Tequila (Icon Video)-9j8afmT-bLM.mp3,86.53846153846153, 256, 0.45102583020040127, 0.2573384642601013,2360.1322041119233, 3026.433524859292, 5045.178804219009, 0.042590878873844516,161.92728208365952,-17.568321886625014,41.01301360780211,-16.25112699555033,24.261891539004328,-3.575462076740288,2.676924197832238,-1.0145962957989825,5.712959834208023,-5.15654583598122,1.8842670694738348,Country
Luke Combs - When It Rains It Pours-uXyxFMbqKYA.mp3,127.8409090909091, 381, 0.4532495071687329, 0.1788613498210907,2790.3554521178507, 3387.9066901162705, 5750.721716490874, 0.057316424073017895,140.4568662844423,-20.095301643714198,29.019091644547256,-0.700216337821304,20.9993679975056,-4.5917540717893015,10.62884806160567,-2.242151761626073,7.588534842750202,-2.0943091257381834,2.012000162732694,Country
David Nail - Whatever She's Got-o1C3mVUkAt8.mp3,160.71428571428572, 478, 0.44107113514291524, 0.10511643439531326,2926.629137353258, 3395.767905702904, 6045.152879829344, 0.060766740443158926,146.45794740221467,-29.96283747845734,42.96601705319914,-7.901665089394606,22.556473233813715,-13.911929568342279,11.466446285838794,-3.4810787800427367,3.0598414715953726,-1.6766701581559011,3.1471558146579257,Country
Thomas Rhett - Die A Happy Man-w2CELiObPeQ.mp3,165.44117647058823, 470, 0.4562436018117895, 0.08360052853822708,2466.4176963878, 3320.8282252337226, 5468.992578217587, 0.042206642384155016,145.54704385979954,-0.7597505186716633,41.57031064164901,4.229994018283078,26.34336481519609,-9.939868341549012,8.61440378123735,-4.684760791151526,0.8242721293307351,-1.498816975483694,-2.2097390806553947,Country
